cooperative_membership_reference,member_party_reference,cooperative_party_reference,membership_kind,as_of
PUGLIAOLIVE-MEMBERSHIP-0208,PUGLIAOLIVE-MEMBER-0208,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0209,PUGLIAOLIVE-MEMBER-0209,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0210,PUGLIAOLIVE-MEMBER-0210,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0211,PUGLIAOLIVE-MEMBER-0211,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0212,PUGLIAOLIVE-MEMBER-0212,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0213,PUGLIAOLIVE-MEMBER-0213,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0214,PUGLIAOLIVE-MEMBER-0214,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0215,PUGLIAOLIVE-MEMBER-0215,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0216,PUGLIAOLIVE-MEMBER-0216,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0217,PUGLIAOLIVE-MEMBER-0217,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0218,PUGLIAOLIVE-MEMBER-0218,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0219,PUGLIAOLIVE-MEMBER-0219,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0220,PUGLIAOLIVE-MEMBER-0220,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0221,PUGLIAOLIVE-MEMBER-0221,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0222,PUGLIAOLIVE-MEMBER-0222,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0223,PUGLIAOLIVE-MEMBER-0223,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0224,PUGLIAOLIVE-MEMBER-0224,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0225,PUGLIAOLIVE-MEMBER-0225,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0226,PUGLIAOLIVE-MEMBER-0226,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0227,PUGLIAOLIVE-MEMBER-0227,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0228,PUGLIAOLIVE-MEMBER-0228,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0229,PUGLIAOLIVE-MEMBER-0229,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0230,PUGLIAOLIVE-MEMBER-0230,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0231,PUGLIAOLIVE-MEMBER-0231,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0232,PUGLIAOLIVE-MEMBER-0232,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0233,PUGLIAOLIVE-MEMBER-0233,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0234,PUGLIAOLIVE-MEMBER-0234,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0235,PUGLIAOLIVE-MEMBER-0235,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0236,PUGLIAOLIVE-MEMBER-0236,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0237,PUGLIAOLIVE-MEMBER-0237,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0238,PUGLIAOLIVE-MEMBER-0238,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0239,PUGLIAOLIVE-MEMBER-0239,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0240,PUGLIAOLIVE-MEMBER-0240,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0241,PUGLIAOLIVE-MEMBER-0241,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0242,PUGLIAOLIVE-MEMBER-0242,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0243,PUGLIAOLIVE-MEMBER-0243,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0244,PUGLIAOLIVE-MEMBER-0244,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0245,PUGLIAOLIVE-MEMBER-0245,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0246,PUGLIAOLIVE-MEMBER-0246,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0247,PUGLIAOLIVE-MEMBER-0247,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0248,PUGLIAOLIVE-MEMBER-0248,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0249,PUGLIAOLIVE-MEMBER-0249,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0250,PUGLIAOLIVE-MEMBER-0250,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0251,PUGLIAOLIVE-MEMBER-0251,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0252,PUGLIAOLIVE-MEMBER-0252,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0253,PUGLIAOLIVE-MEMBER-0253,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0254,PUGLIAOLIVE-MEMBER-0254,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0255,PUGLIAOLIVE-MEMBER-0255,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0256,PUGLIAOLIVE-MEMBER-0256,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0257,PUGLIAOLIVE-MEMBER-0257,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0258,PUGLIAOLIVE-MEMBER-0258,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0259,PUGLIAOLIVE-MEMBER-0259,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0260,PUGLIAOLIVE-MEMBER-0260,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0261,PUGLIAOLIVE-MEMBER-0261,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0262,PUGLIAOLIVE-MEMBER-0262,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0263,PUGLIAOLIVE-MEMBER-0263,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0264,PUGLIAOLIVE-MEMBER-0264,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0265,PUGLIAOLIVE-MEMBER-0265,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0266,PUGLIAOLIVE-MEMBER-0266,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0267,PUGLIAOLIVE-MEMBER-0267,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0268,PUGLIAOLIVE-MEMBER-0268,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0269,PUGLIAOLIVE-MEMBER-0269,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0270,PUGLIAOLIVE-MEMBER-0270,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0271,PUGLIAOLIVE-MEMBER-0271,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0272,PUGLIAOLIVE-MEMBER-0272,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0273,PUGLIAOLIVE-MEMBER-0273,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0274,PUGLIAOLIVE-MEMBER-0274,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0275,PUGLIAOLIVE-MEMBER-0275,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0276,PUGLIAOLIVE-MEMBER-0276,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0277,PUGLIAOLIVE-MEMBER-0277,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0278,PUGLIAOLIVE-MEMBER-0278,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0279,PUGLIAOLIVE-MEMBER-0279,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0280,PUGLIAOLIVE-MEMBER-0280,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0281,PUGLIAOLIVE-MEMBER-0281,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0282,PUGLIAOLIVE-MEMBER-0282,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0283,PUGLIAOLIVE-MEMBER-0283,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0284,PUGLIAOLIVE-MEMBER-0284,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0285,PUGLIAOLIVE-MEMBER-0285,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0286,PUGLIAOLIVE-MEMBER-0286,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0287,PUGLIAOLIVE-MEMBER-0287,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0288,PUGLIAOLIVE-MEMBER-0288,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0289,PUGLIAOLIVE-MEMBER-0289,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0290,PUGLIAOLIVE-MEMBER-0290,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0291,PUGLIAOLIVE-MEMBER-0291,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0292,PUGLIAOLIVE-MEMBER-0292,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0293,PUGLIAOLIVE-MEMBER-0293,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0294,PUGLIAOLIVE-MEMBER-0294,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0295,PUGLIAOLIVE-MEMBER-0295,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0296,PUGLIAOLIVE-MEMBER-0296,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0297,PUGLIAOLIVE-MEMBER-0297,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0298,PUGLIAOLIVE-MEMBER-0298,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0299,PUGLIAOLIVE-MEMBER-0299,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0300,PUGLIAOLIVE-MEMBER-0300,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0301,PUGLIAOLIVE-MEMBER-0301,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0302,PUGLIAOLIVE-MEMBER-0302,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0303,PUGLIAOLIVE-MEMBER-0303,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0304,PUGLIAOLIVE-MEMBER-0304,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0305,PUGLIAOLIVE-MEMBER-0305,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0306,PUGLIAOLIVE-MEMBER-0306,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0307,PUGLIAOLIVE-MEMBER-0307,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0308,PUGLIAOLIVE-MEMBER-0308,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0309,PUGLIAOLIVE-MEMBER-0309,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0310,PUGLIAOLIVE-MEMBER-0310,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0311,PUGLIAOLIVE-MEMBER-0311,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0312,PUGLIAOLIVE-MEMBER-0312,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0313,PUGLIAOLIVE-MEMBER-0313,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0314,PUGLIAOLIVE-MEMBER-0314,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0315,PUGLIAOLIVE-MEMBER-0315,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0316,PUGLIAOLIVE-MEMBER-0316,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0317,PUGLIAOLIVE-MEMBER-0317,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0318,PUGLIAOLIVE-MEMBER-0318,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0319,PUGLIAOLIVE-MEMBER-0319,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0320,PUGLIAOLIVE-MEMBER-0320,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0321,PUGLIAOLIVE-MEMBER-0321,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0322,PUGLIAOLIVE-MEMBER-0322,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0323,PUGLIAOLIVE-MEMBER-0323,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0324,PUGLIAOLIVE-MEMBER-0324,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0325,PUGLIAOLIVE-MEMBER-0325,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0326,PUGLIAOLIVE-MEMBER-0326,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0327,PUGLIAOLIVE-MEMBER-0327,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0328,PUGLIAOLIVE-MEMBER-0328,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0329,PUGLIAOLIVE-MEMBER-0329,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0330,PUGLIAOLIVE-MEMBER-0330,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0331,PUGLIAOLIVE-MEMBER-0331,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0332,PUGLIAOLIVE-MEMBER-0332,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0333,PUGLIAOLIVE-MEMBER-0333,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0334,PUGLIAOLIVE-MEMBER-0334,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0335,PUGLIAOLIVE-MEMBER-0335,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0336,PUGLIAOLIVE-MEMBER-0336,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0337,PUGLIAOLIVE-MEMBER-0337,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0338,PUGLIAOLIVE-MEMBER-0338,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0339,PUGLIAOLIVE-MEMBER-0339,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0340,PUGLIAOLIVE-MEMBER-0340,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0341,PUGLIAOLIVE-MEMBER-0341,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0342,PUGLIAOLIVE-MEMBER-0342,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0343,PUGLIAOLIVE-MEMBER-0343,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0344,PUGLIAOLIVE-MEMBER-0344,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0345,PUGLIAOLIVE-MEMBER-0345,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0346,PUGLIAOLIVE-MEMBER-0346,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0347,PUGLIAOLIVE-MEMBER-0347,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0348,PUGLIAOLIVE-MEMBER-0348,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0349,PUGLIAOLIVE-MEMBER-0349,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0350,PUGLIAOLIVE-MEMBER-0350,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0351,PUGLIAOLIVE-MEMBER-0351,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0352,PUGLIAOLIVE-MEMBER-0352,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0353,PUGLIAOLIVE-MEMBER-0353,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0354,PUGLIAOLIVE-MEMBER-0354,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0355,PUGLIAOLIVE-MEMBER-0355,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0356,PUGLIAOLIVE-MEMBER-0356,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0357,PUGLIAOLIVE-MEMBER-0357,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0358,PUGLIAOLIVE-MEMBER-0358,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0359,PUGLIAOLIVE-MEMBER-0359,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0360,PUGLIAOLIVE-MEMBER-0360,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0361,PUGLIAOLIVE-MEMBER-0361,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0362,PUGLIAOLIVE-MEMBER-0362,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0363,PUGLIAOLIVE-MEMBER-0363,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0364,PUGLIAOLIVE-MEMBER-0364,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0365,PUGLIAOLIVE-MEMBER-0365,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0366,PUGLIAOLIVE-MEMBER-0366,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0367,PUGLIAOLIVE-MEMBER-0367,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0368,PUGLIAOLIVE-MEMBER-0368,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0369,PUGLIAOLIVE-MEMBER-0369,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0370,PUGLIAOLIVE-MEMBER-0370,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0371,PUGLIAOLIVE-MEMBER-0371,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0372,PUGLIAOLIVE-MEMBER-0372,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0373,PUGLIAOLIVE-MEMBER-0373,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0374,PUGLIAOLIVE-MEMBER-0374,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0375,PUGLIAOLIVE-MEMBER-0375,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0376,PUGLIAOLIVE-MEMBER-0376,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0377,PUGLIAOLIVE-MEMBER-0377,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0378,PUGLIAOLIVE-MEMBER-0378,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0379,PUGLIAOLIVE-MEMBER-0379,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0380,PUGLIAOLIVE-MEMBER-0380,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0381,PUGLIAOLIVE-MEMBER-0381,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0382,PUGLIAOLIVE-MEMBER-0382,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0383,PUGLIAOLIVE-MEMBER-0383,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0384,PUGLIAOLIVE-MEMBER-0384,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0385,PUGLIAOLIVE-MEMBER-0385,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0386,PUGLIAOLIVE-MEMBER-0386,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0387,PUGLIAOLIVE-MEMBER-0387,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0388,PUGLIAOLIVE-MEMBER-0388,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0389,PUGLIAOLIVE-MEMBER-0389,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0390,PUGLIAOLIVE-MEMBER-0390,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0391,PUGLIAOLIVE-MEMBER-0391,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0392,PUGLIAOLIVE-MEMBER-0392,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0393,PUGLIAOLIVE-MEMBER-0393,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0394,PUGLIAOLIVE-MEMBER-0394,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0395,PUGLIAOLIVE-MEMBER-0395,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0396,PUGLIAOLIVE-MEMBER-0396,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0397,PUGLIAOLIVE-MEMBER-0397,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0398,PUGLIAOLIVE-MEMBER-0398,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0399,PUGLIAOLIVE-MEMBER-0399,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0400,PUGLIAOLIVE-MEMBER-0400,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0401,PUGLIAOLIVE-MEMBER-0401,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0402,PUGLIAOLIVE-MEMBER-0402,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0403,PUGLIAOLIVE-MEMBER-0403,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0404,PUGLIAOLIVE-MEMBER-0404,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0405,PUGLIAOLIVE-MEMBER-0405,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0406,PUGLIAOLIVE-MEMBER-0406,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0407,PUGLIAOLIVE-MEMBER-0407,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0408,PUGLIAOLIVE-MEMBER-0408,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0409,PUGLIAOLIVE-MEMBER-0409,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0410,PUGLIAOLIVE-MEMBER-0410,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0411,PUGLIAOLIVE-MEMBER-0411,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0412,PUGLIAOLIVE-MEMBER-0412,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0413,PUGLIAOLIVE-MEMBER-0413,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0414,PUGLIAOLIVE-MEMBER-0414,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0415,PUGLIAOLIVE-MEMBER-0415,IT/OLI/112,producer_member,2026-08-24
