qualified_holding_reference,operator_title,as_of
PUGLIAOLIVE-HOLDING-0359,Agricultural holding 0359,2026-08-24
PUGLIAOLIVE-HOLDING-0360,Agricultural holding 0360,2026-08-24
PUGLIAOLIVE-HOLDING-0361,Agricultural holding 0361,2026-08-24
PUGLIAOLIVE-HOLDING-0362,Agricultural holding 0362,2026-08-24
PUGLIAOLIVE-HOLDING-0363,Agricultural holding 0363,2026-08-24
PUGLIAOLIVE-HOLDING-0364,Agricultural holding 0364,2026-08-24
PUGLIAOLIVE-HOLDING-0365,Agricultural holding 0365,2026-08-24
PUGLIAOLIVE-HOLDING-0366,Agricultural holding 0366,2026-08-24
PUGLIAOLIVE-HOLDING-0367,Agricultural holding 0367,2026-08-24
PUGLIAOLIVE-HOLDING-0368,Agricultural holding 0368,2026-08-24
PUGLIAOLIVE-HOLDING-0369,Agricultural holding 0369,2026-08-24
PUGLIAOLIVE-HOLDING-0370,Agricultural holding 0370,2026-08-24
PUGLIAOLIVE-HOLDING-0371,Agricultural holding 0371,2026-08-24
PUGLIAOLIVE-HOLDING-0372,Agricultural holding 0372,2026-08-24
PUGLIAOLIVE-HOLDING-0373,Agricultural holding 0373,2026-08-24
PUGLIAOLIVE-HOLDING-0374,Agricultural holding 0374,2026-08-24
PUGLIAOLIVE-HOLDING-0375,Agricultural holding 0375,2026-08-24
PUGLIAOLIVE-HOLDING-0376,Agricultural holding 0376,2026-08-24
PUGLIAOLIVE-HOLDING-0377,Agricultural holding 0377,2026-08-24
PUGLIAOLIVE-HOLDING-0378,Agricultural holding 0378,2026-08-24
PUGLIAOLIVE-HOLDING-0379,Agricultural holding 0379,2026-08-24
PUGLIAOLIVE-HOLDING-0380,Agricultural holding 0380,2026-08-24
PUGLIAOLIVE-HOLDING-0381,Agricultural holding 0381,2026-08-24
PUGLIAOLIVE-HOLDING-0382,Agricultural holding 0382,2026-08-24
PUGLIAOLIVE-HOLDING-0383,Agricultural holding 0383,2026-08-24
PUGLIAOLIVE-HOLDING-0384,Agricultural holding 0384,2026-08-24
PUGLIAOLIVE-HOLDING-0385,Agricultural holding 0385,2026-08-24
PUGLIAOLIVE-HOLDING-0386,Agricultural holding 0386,2026-08-24
PUGLIAOLIVE-HOLDING-0387,Agricultural holding 0387,2026-08-24
PUGLIAOLIVE-HOLDING-0388,Agricultural holding 0388,2026-08-24
PUGLIAOLIVE-HOLDING-0389,Agricultural holding 0389,2026-08-24
PUGLIAOLIVE-HOLDING-0390,Agricultural holding 0390,2026-08-24
PUGLIAOLIVE-HOLDING-0391,Agricultural holding 0391,2026-08-24
PUGLIAOLIVE-HOLDING-0392,Agricultural holding 0392,2026-08-24
PUGLIAOLIVE-HOLDING-0393,Agricultural holding 0393,2026-08-24
PUGLIAOLIVE-HOLDING-0394,Agricultural holding 0394,2026-08-24
PUGLIAOLIVE-HOLDING-0395,Agricultural holding 0395,2026-08-24
PUGLIAOLIVE-HOLDING-0396,Agricultural holding 0396,2026-08-24
PUGLIAOLIVE-HOLDING-0397,Agricultural holding 0397,2026-08-24
PUGLIAOLIVE-HOLDING-0398,Agricultural holding 0398,2026-08-24
PUGLIAOLIVE-HOLDING-0399,Agricultural holding 0399,2026-08-24
PUGLIAOLIVE-HOLDING-0400,Agricultural holding 0400,2026-08-24
PUGLIAOLIVE-HOLDING-0401,Agricultural holding 0401,2026-08-24
PUGLIAOLIVE-HOLDING-0402,Agricultural holding 0402,2026-08-24
PUGLIAOLIVE-HOLDING-0403,Agricultural holding 0403,2026-08-24
PUGLIAOLIVE-HOLDING-0404,Agricultural holding 0404,2026-08-24
PUGLIAOLIVE-HOLDING-0405,Agricultural holding 0405,2026-08-24
PUGLIAOLIVE-HOLDING-0406,Agricultural holding 0406,2026-08-24
PUGLIAOLIVE-HOLDING-0407,Agricultural holding 0407,2026-08-24
PUGLIAOLIVE-HOLDING-0408,Agricultural holding 0408,2026-08-24
PUGLIAOLIVE-HOLDING-0409,Agricultural holding 0409,2026-08-24
PUGLIAOLIVE-HOLDING-0410,Agricultural holding 0410,2026-08-24
PUGLIAOLIVE-HOLDING-0411,Agricultural holding 0411,2026-08-24
PUGLIAOLIVE-HOLDING-0412,Agricultural holding 0412,2026-08-24
PUGLIAOLIVE-HOLDING-0413,Agricultural holding 0413,2026-08-24
PUGLIAOLIVE-HOLDING-0414,Agricultural holding 0414,2026-08-24
PUGLIAOLIVE-HOLDING-0415,Agricultural holding 0415,2026-08-24
PUGLIAOLIVE-HOLDING-0416,Agricultural holding 0416,2026-08-24
PUGLIAOLIVE-HOLDING-0417,Agricultural holding 0417,2026-08-24
PUGLIAOLIVE-HOLDING-0418,Agricultural holding 0418,2026-08-24
PUGLIAOLIVE-HOLDING-0419,Agricultural holding 0419,2026-08-24
PUGLIAOLIVE-HOLDING-0420,Agricultural holding 0420,2026-08-24
PUGLIAOLIVE-HOLDING-0421,Agricultural holding 0421,2026-08-24
PUGLIAOLIVE-HOLDING-0422,Agricultural holding 0422,2026-08-24
PUGLIAOLIVE-HOLDING-0423,Agricultural holding 0423,2026-08-24
PUGLIAOLIVE-HOLDING-0424,Agricultural holding 0424,2026-08-24
PUGLIAOLIVE-HOLDING-0425,Agricultural holding 0425,2026-08-24
PUGLIAOLIVE-HOLDING-0426,Agricultural holding 0426,2026-08-24
PUGLIAOLIVE-HOLDING-0427,Agricultural holding 0427,2026-08-24
PUGLIAOLIVE-HOLDING-0428,Agricultural holding 0428,2026-08-24
PUGLIAOLIVE-HOLDING-0429,Agricultural holding 0429,2026-08-24
PUGLIAOLIVE-HOLDING-0430,Agricultural holding 0430,2026-08-24
PUGLIAOLIVE-HOLDING-0431,Agricultural holding 0431,2026-08-24
PUGLIAOLIVE-HOLDING-0432,Agricultural holding 0432,2026-08-24
PUGLIAOLIVE-HOLDING-0433,Agricultural holding 0433,2026-08-24
PUGLIAOLIVE-HOLDING-0434,Agricultural holding 0434,2026-08-24
PUGLIAOLIVE-HOLDING-0435,Agricultural holding 0435,2026-08-24
PUGLIAOLIVE-HOLDING-0436,Agricultural holding 0436,2026-08-24
PUGLIAOLIVE-HOLDING-0437,Agricultural holding 0437,2026-08-24
PUGLIAOLIVE-HOLDING-0438,Agricultural holding 0438,2026-08-24
PUGLIAOLIVE-HOLDING-0439,Agricultural holding 0439,2026-08-24
PUGLIAOLIVE-HOLDING-0440,Agricultural holding 0440,2026-08-24
PUGLIAOLIVE-HOLDING-0441,Agricultural holding 0441,2026-08-24
PUGLIAOLIVE-HOLDING-0442,Agricultural holding 0442,2026-08-24
PUGLIAOLIVE-HOLDING-0443,Agricultural holding 0443,2026-08-24
PUGLIAOLIVE-HOLDING-0444,Agricultural holding 0444,2026-08-24
PUGLIAOLIVE-HOLDING-0445,Agricultural holding 0445,2026-08-24
PUGLIAOLIVE-HOLDING-0446,Agricultural holding 0446,2026-08-24
PUGLIAOLIVE-HOLDING-0447,Agricultural holding 0447,2026-08-24
PUGLIAOLIVE-HOLDING-0448,Agricultural holding 0448,2026-08-24
PUGLIAOLIVE-HOLDING-0449,Agricultural holding 0449,2026-08-24
PUGLIAOLIVE-HOLDING-0450,Agricultural holding 0450,2026-08-24
PUGLIAOLIVE-HOLDING-0451,Agricultural holding 0451,2026-08-24
PUGLIAOLIVE-HOLDING-0452,Agricultural holding 0452,2026-08-24
PUGLIAOLIVE-HOLDING-0453,Agricultural holding 0453,2026-08-24
PUGLIAOLIVE-HOLDING-0454,Agricultural holding 0454,2026-08-24
PUGLIAOLIVE-HOLDING-0455,Agricultural holding 0455,2026-08-24
PUGLIAOLIVE-HOLDING-0456,Agricultural holding 0456,2026-08-24
PUGLIAOLIVE-HOLDING-0457,Agricultural holding 0457,2026-08-24
PUGLIAOLIVE-HOLDING-0458,Agricultural holding 0458,2026-08-24
PUGLIAOLIVE-HOLDING-0459,Agricultural holding 0459,2026-08-24
PUGLIAOLIVE-HOLDING-0460,Agricultural holding 0460,2026-08-24
PUGLIAOLIVE-HOLDING-0461,Agricultural holding 0461,2026-08-24
PUGLIAOLIVE-HOLDING-0462,Agricultural holding 0462,2026-08-24
PUGLIAOLIVE-HOLDING-0463,Agricultural holding 0463,2026-08-24
PUGLIAOLIVE-HOLDING-0464,Agricultural holding 0464,2026-08-24
PUGLIAOLIVE-HOLDING-0465,Agricultural holding 0465,2026-08-24
PUGLIAOLIVE-HOLDING-0466,Agricultural holding 0466,2026-08-24
PUGLIAOLIVE-HOLDING-0467,Agricultural holding 0467,2026-08-24
PUGLIAOLIVE-HOLDING-0468,Agricultural holding 0468,2026-08-24
PUGLIAOLIVE-HOLDING-0469,Agricultural holding 0469,2026-08-24
PUGLIAOLIVE-HOLDING-0470,Agricultural holding 0470,2026-08-24
PUGLIAOLIVE-HOLDING-0471,Agricultural holding 0471,2026-08-24
PUGLIAOLIVE-HOLDING-0472,Agricultural holding 0472,2026-08-24
PUGLIAOLIVE-HOLDING-0473,Agricultural holding 0473,2026-08-24
PUGLIAOLIVE-HOLDING-0474,Agricultural holding 0474,2026-08-24
PUGLIAOLIVE-HOLDING-0475,Agricultural holding 0475,2026-08-24
PUGLIAOLIVE-HOLDING-0476,Agricultural holding 0476,2026-08-24
PUGLIAOLIVE-HOLDING-0477,Agricultural holding 0477,2026-08-24
PUGLIAOLIVE-HOLDING-0478,Agricultural holding 0478,2026-08-24
PUGLIAOLIVE-HOLDING-0479,Agricultural holding 0479,2026-08-24
PUGLIAOLIVE-HOLDING-0480,Agricultural holding 0480,2026-08-24
PUGLIAOLIVE-HOLDING-0481,Agricultural holding 0481,2026-08-24
PUGLIAOLIVE-HOLDING-0482,Agricultural holding 0482,2026-08-24
PUGLIAOLIVE-HOLDING-0483,Agricultural holding 0483,2026-08-24
PUGLIAOLIVE-HOLDING-0484,Agricultural holding 0484,2026-08-24
PUGLIAOLIVE-HOLDING-0485,Agricultural holding 0485,2026-08-24
PUGLIAOLIVE-HOLDING-0486,Agricultural holding 0486,2026-08-24
PUGLIAOLIVE-HOLDING-0487,Agricultural holding 0487,2026-08-24
PUGLIAOLIVE-HOLDING-0488,Agricultural holding 0488,2026-08-24
PUGLIAOLIVE-HOLDING-0489,Agricultural holding 0489,2026-08-24
PUGLIAOLIVE-HOLDING-0490,Agricultural holding 0490,2026-08-24
PUGLIAOLIVE-HOLDING-0491,Agricultural holding 0491,2026-08-24
PUGLIAOLIVE-HOLDING-0492,Agricultural holding 0492,2026-08-24
PUGLIAOLIVE-HOLDING-0493,Agricultural holding 0493,2026-08-24
PUGLIAOLIVE-HOLDING-0494,Agricultural holding 0494,2026-08-24
PUGLIAOLIVE-HOLDING-0495,Agricultural holding 0495,2026-08-24
PUGLIAOLIVE-HOLDING-0496,Agricultural holding 0496,2026-08-24
PUGLIAOLIVE-HOLDING-0497,Agricultural holding 0497,2026-08-24
PUGLIAOLIVE-HOLDING-0498,Agricultural holding 0498,2026-08-24
PUGLIAOLIVE-HOLDING-0499,Agricultural holding 0499,2026-08-24
PUGLIAOLIVE-HOLDING-0500,Agricultural holding 0500,2026-08-24
PUGLIAOLIVE-HOLDING-0501,Agricultural holding 0501,2026-08-24
PUGLIAOLIVE-HOLDING-0502,Agricultural holding 0502,2026-08-24
PUGLIAOLIVE-HOLDING-0503,Agricultural holding 0503,2026-08-24
PUGLIAOLIVE-HOLDING-0504,Agricultural holding 0504,2026-08-24
PUGLIAOLIVE-HOLDING-0505,Agricultural holding 0505,2026-08-24
PUGLIAOLIVE-HOLDING-0506,Agricultural holding 0506,2026-08-24
PUGLIAOLIVE-HOLDING-0507,Agricultural holding 0507,2026-08-24
PUGLIAOLIVE-HOLDING-0508,Agricultural holding 0508,2026-08-24
PUGLIAOLIVE-HOLDING-0509,Agricultural holding 0509,2026-08-24
PUGLIAOLIVE-HOLDING-0510,Agricultural holding 0510,2026-08-24
PUGLIAOLIVE-HOLDING-0511,Agricultural holding 0511,2026-08-24
PUGLIAOLIVE-HOLDING-0512,Agricultural holding 0512,2026-08-24
PUGLIAOLIVE-HOLDING-0513,Agricultural holding 0513,2026-08-24
PUGLIAOLIVE-HOLDING-0514,Agricultural holding 0514,2026-08-24
PUGLIAOLIVE-HOLDING-0515,Agricultural holding 0515,2026-08-24
PUGLIAOLIVE-HOLDING-0516,Agricultural holding 0516,2026-08-24
PUGLIAOLIVE-HOLDING-0517,Agricultural holding 0517,2026-08-24
PUGLIAOLIVE-HOLDING-0518,Agricultural holding 0518,2026-08-24
PUGLIAOLIVE-HOLDING-0519,Agricultural holding 0519,2026-08-24
PUGLIAOLIVE-HOLDING-0520,Agricultural holding 0520,2026-08-24
PUGLIAOLIVE-HOLDING-0521,Agricultural holding 0521,2026-08-24
PUGLIAOLIVE-HOLDING-0522,Agricultural holding 0522,2026-08-24
PUGLIAOLIVE-HOLDING-0523,Agricultural holding 0523,2026-08-24
PUGLIAOLIVE-HOLDING-0524,Agricultural holding 0524,2026-08-24
PUGLIAOLIVE-HOLDING-0525,Agricultural holding 0525,2026-08-24
PUGLIAOLIVE-HOLDING-0526,Agricultural holding 0526,2026-08-24
PUGLIAOLIVE-HOLDING-0527,Agricultural holding 0527,2026-08-24
PUGLIAOLIVE-HOLDING-0528,Agricultural holding 0528,2026-08-24
PUGLIAOLIVE-HOLDING-0529,Agricultural holding 0529,2026-08-24
PUGLIAOLIVE-HOLDING-0530,Agricultural holding 0530,2026-08-24
PUGLIAOLIVE-HOLDING-0531,Agricultural holding 0531,2026-08-24
PUGLIAOLIVE-HOLDING-0532,Agricultural holding 0532,2026-08-24
PUGLIAOLIVE-HOLDING-0533,Agricultural holding 0533,2026-08-24
PUGLIAOLIVE-HOLDING-0534,Agricultural holding 0534,2026-08-24
PUGLIAOLIVE-HOLDING-0535,Agricultural holding 0535,2026-08-24
PUGLIAOLIVE-HOLDING-0536,Agricultural holding 0536,2026-08-24
PUGLIAOLIVE-HOLDING-0537,Agricultural holding 0537,2026-08-24
PUGLIAOLIVE-HOLDING-0538,Agricultural holding 0538,2026-08-24
PUGLIAOLIVE-HOLDING-0539,Agricultural holding 0539,2026-08-24
PUGLIAOLIVE-HOLDING-0540,Agricultural holding 0540,2026-08-24
PUGLIAOLIVE-HOLDING-0541,Agricultural holding 0541,2026-08-24
PUGLIAOLIVE-HOLDING-0542,Agricultural holding 0542,2026-08-24
PUGLIAOLIVE-HOLDING-0543,Agricultural holding 0543,2026-08-24
PUGLIAOLIVE-HOLDING-0544,Agricultural holding 0544,2026-08-24
PUGLIAOLIVE-HOLDING-0545,Agricultural holding 0545,2026-08-24
PUGLIAOLIVE-HOLDING-0546,Agricultural holding 0546,2026-08-24
PUGLIAOLIVE-HOLDING-0547,Agricultural holding 0547,2026-08-24
PUGLIAOLIVE-HOLDING-0548,Agricultural holding 0548,2026-08-24
PUGLIAOLIVE-HOLDING-0549,Agricultural holding 0549,2026-08-24
PUGLIAOLIVE-HOLDING-0550,Agricultural holding 0550,2026-08-24
PUGLIAOLIVE-HOLDING-0551,Agricultural holding 0551,2026-08-24
PUGLIAOLIVE-HOLDING-0552,Agricultural holding 0552,2026-08-24
PUGLIAOLIVE-HOLDING-0553,Agricultural holding 0553,2026-08-24
PUGLIAOLIVE-HOLDING-0554,Agricultural holding 0554,2026-08-24
PUGLIAOLIVE-HOLDING-0555,Agricultural holding 0555,2026-08-24
PUGLIAOLIVE-HOLDING-0556,Agricultural holding 0556,2026-08-24
PUGLIAOLIVE-HOLDING-0557,Agricultural holding 0557,2026-08-24
PUGLIAOLIVE-HOLDING-0558,Agricultural holding 0558,2026-08-24
PUGLIAOLIVE-HOLDING-0559,Agricultural holding 0559,2026-08-24
PUGLIAOLIVE-HOLDING-0560,Agricultural holding 0560,2026-08-24
PUGLIAOLIVE-HOLDING-0561,Agricultural holding 0561,2026-08-24
PUGLIAOLIVE-HOLDING-0562,Agricultural holding 0562,2026-08-24
PUGLIAOLIVE-HOLDING-0563,Agricultural holding 0563,2026-08-24
PUGLIAOLIVE-HOLDING-0564,Agricultural holding 0564,2026-08-24
PUGLIAOLIVE-HOLDING-0565,Agricultural holding 0565,2026-08-24
PUGLIAOLIVE-HOLDING-0566,Agricultural holding 0566,2026-08-24
PUGLIAOLIVE-HOLDING-0567,Agricultural holding 0567,2026-08-24
PUGLIAOLIVE-HOLDING-0568,Agricultural holding 0568,2026-08-24
PUGLIAOLIVE-HOLDING-0569,Agricultural holding 0569,2026-08-24
PUGLIAOLIVE-HOLDING-0570,Agricultural holding 0570,2026-08-24
PUGLIAOLIVE-HOLDING-0571,Agricultural holding 0571,2026-08-24
PUGLIAOLIVE-HOLDING-0572,Agricultural holding 0572,2026-08-24
PUGLIAOLIVE-HOLDING-0573,Agricultural holding 0573,2026-08-24
PUGLIAOLIVE-HOLDING-0574,Agricultural holding 0574,2026-08-24
PUGLIAOLIVE-HOLDING-0575,Agricultural holding 0575,2026-08-24
PUGLIAOLIVE-HOLDING-0576,Agricultural holding 0576,2026-08-24
PUGLIAOLIVE-HOLDING-0577,Agricultural holding 0577,2026-08-24
PUGLIAOLIVE-HOLDING-0578,Agricultural holding 0578,2026-08-24
PUGLIAOLIVE-HOLDING-0579,Agricultural holding 0579,2026-08-24
PUGLIAOLIVE-HOLDING-0580,Agricultural holding 0580,2026-08-24
PUGLIAOLIVE-HOLDING-0581,Agricultural holding 0581,2026-08-24
PUGLIAOLIVE-HOLDING-0582,Agricultural holding 0582,2026-08-24
PUGLIAOLIVE-HOLDING-0583,Agricultural holding 0583,2026-08-24
PUGLIAOLIVE-HOLDING-0584,Agricultural holding 0584,2026-08-24
PUGLIAOLIVE-HOLDING-0585,Agricultural holding 0585,2026-08-24
PUGLIAOLIVE-HOLDING-0586,Agricultural holding 0586,2026-08-24
PUGLIAOLIVE-HOLDING-0587,Agricultural holding 0587,2026-08-24
PUGLIAOLIVE-HOLDING-0588,Agricultural holding 0588,2026-08-24
PUGLIAOLIVE-HOLDING-0589,Agricultural holding 0589,2026-08-24
PUGLIAOLIVE-HOLDING-0590,Agricultural holding 0590,2026-08-24
PUGLIAOLIVE-HOLDING-0591,Agricultural holding 0591,2026-08-24
PUGLIAOLIVE-HOLDING-0592,Agricultural holding 0592,2026-08-24
PUGLIAOLIVE-HOLDING-0593,Agricultural holding 0593,2026-08-24
PUGLIAOLIVE-HOLDING-0594,Agricultural holding 0594,2026-08-24
PUGLIAOLIVE-HOLDING-0595,Agricultural holding 0595,2026-08-24
PUGLIAOLIVE-HOLDING-0596,Agricultural holding 0596,2026-08-24
PUGLIAOLIVE-HOLDING-0597,Agricultural holding 0597,2026-08-24
PUGLIAOLIVE-HOLDING-0598,Agricultural holding 0598,2026-08-24
PUGLIAOLIVE-HOLDING-0599,Agricultural holding 0599,2026-08-24
PUGLIAOLIVE-HOLDING-0600,Agricultural holding 0600,2026-08-24
PUGLIAOLIVE-HOLDING-0601,Agricultural holding 0601,2026-08-24
PUGLIAOLIVE-HOLDING-0602,Agricultural holding 0602,2026-08-24
PUGLIAOLIVE-HOLDING-0603,Agricultural holding 0603,2026-08-24
PUGLIAOLIVE-HOLDING-0604,Agricultural holding 0604,2026-08-24
PUGLIAOLIVE-HOLDING-0605,Agricultural holding 0605,2026-08-24
PUGLIAOLIVE-HOLDING-0606,Agricultural holding 0606,2026-08-24
PUGLIAOLIVE-HOLDING-0607,Agricultural holding 0607,2026-08-24
PUGLIAOLIVE-HOLDING-0608,Agricultural holding 0608,2026-08-24
PUGLIAOLIVE-HOLDING-0609,Agricultural holding 0609,2026-08-24
PUGLIAOLIVE-HOLDING-0610,Agricultural holding 0610,2026-08-24
PUGLIAOLIVE-HOLDING-0611,Agricultural holding 0611,2026-08-24
PUGLIAOLIVE-HOLDING-0612,Agricultural holding 0612,2026-08-24
PUGLIAOLIVE-HOLDING-0613,Agricultural holding 0613,2026-08-24
PUGLIAOLIVE-HOLDING-0614,Agricultural holding 0614,2026-08-24
PUGLIAOLIVE-HOLDING-0615,Agricultural holding 0615,2026-08-24
PUGLIAOLIVE-HOLDING-0616,Agricultural holding 0616,2026-08-24
PUGLIAOLIVE-HOLDING-0617,Agricultural holding 0617,2026-08-24
PUGLIAOLIVE-HOLDING-0618,Agricultural holding 0618,2026-08-24
PUGLIAOLIVE-HOLDING-0619,Agricultural holding 0619,2026-08-24
PUGLIAOLIVE-HOLDING-0620,Agricultural holding 0620,2026-08-24
PUGLIAOLIVE-HOLDING-0621,Agricultural holding 0621,2026-08-24
PUGLIAOLIVE-HOLDING-0622,Agricultural holding 0622,2026-08-24
PUGLIAOLIVE-HOLDING-0623,Agricultural holding 0623,2026-08-24
PUGLIAOLIVE-HOLDING-0624,Agricultural holding 0624,2026-08-24
PUGLIAOLIVE-HOLDING-0625,Agricultural holding 0625,2026-08-24
PUGLIAOLIVE-HOLDING-0626,Agricultural holding 0626,2026-08-24
PUGLIAOLIVE-HOLDING-0627,Agricultural holding 0627,2026-08-24
PUGLIAOLIVE-HOLDING-0628,Agricultural holding 0628,2026-08-24
PUGLIAOLIVE-HOLDING-0629,Agricultural holding 0629,2026-08-24
PUGLIAOLIVE-HOLDING-0630,Agricultural holding 0630,2026-08-24
PUGLIAOLIVE-HOLDING-0631,Agricultural holding 0631,2026-08-24
PUGLIAOLIVE-HOLDING-0632,Agricultural holding 0632,2026-08-24
PUGLIAOLIVE-HOLDING-0633,Agricultural holding 0633,2026-08-24
PUGLIAOLIVE-HOLDING-0634,Agricultural holding 0634,2026-08-24
PUGLIAOLIVE-HOLDING-0635,Agricultural holding 0635,2026-08-24
PUGLIAOLIVE-HOLDING-0636,Agricultural holding 0636,2026-08-24
PUGLIAOLIVE-HOLDING-0637,Agricultural holding 0637,2026-08-24
PUGLIAOLIVE-HOLDING-0638,Agricultural holding 0638,2026-08-24
PUGLIAOLIVE-HOLDING-0639,Agricultural holding 0639,2026-08-24
PUGLIAOLIVE-HOLDING-0640,Agricultural holding 0640,2026-08-24
PUGLIAOLIVE-HOLDING-0641,Agricultural holding 0641,2026-08-24
PUGLIAOLIVE-HOLDING-0642,Agricultural holding 0642,2026-08-24
PUGLIAOLIVE-HOLDING-0643,Agricultural holding 0643,2026-08-24
PUGLIAOLIVE-HOLDING-0644,Agricultural holding 0644,2026-08-24
PUGLIAOLIVE-HOLDING-0645,Agricultural holding 0645,2026-08-24
PUGLIAOLIVE-HOLDING-0646,Agricultural holding 0646,2026-08-24
PUGLIAOLIVE-HOLDING-0647,Agricultural holding 0647,2026-08-24
PUGLIAOLIVE-HOLDING-0648,Agricultural holding 0648,2026-08-24
PUGLIAOLIVE-HOLDING-0649,Agricultural holding 0649,2026-08-24
PUGLIAOLIVE-HOLDING-0650,Agricultural holding 0650,2026-08-24
PUGLIAOLIVE-HOLDING-0651,Agricultural holding 0651,2026-08-24
PUGLIAOLIVE-HOLDING-0652,Agricultural holding 0652,2026-08-24
PUGLIAOLIVE-HOLDING-0653,Agricultural holding 0653,2026-08-24
PUGLIAOLIVE-HOLDING-0654,Agricultural holding 0654,2026-08-24
PUGLIAOLIVE-HOLDING-0655,Agricultural holding 0655,2026-08-24
PUGLIAOLIVE-HOLDING-0656,Agricultural holding 0656,2026-08-24
PUGLIAOLIVE-HOLDING-0657,Agricultural holding 0657,2026-08-24
PUGLIAOLIVE-HOLDING-0658,Agricultural holding 0658,2026-08-24
PUGLIAOLIVE-HOLDING-0659,Agricultural holding 0659,2026-08-24
PUGLIAOLIVE-HOLDING-0660,Agricultural holding 0660,2026-08-24
PUGLIAOLIVE-HOLDING-0661,Agricultural holding 0661,2026-08-24
PUGLIAOLIVE-HOLDING-0662,Agricultural holding 0662,2026-08-24
PUGLIAOLIVE-HOLDING-0663,Agricultural holding 0663,2026-08-24
PUGLIAOLIVE-HOLDING-0664,Agricultural holding 0664,2026-08-24
PUGLIAOLIVE-HOLDING-0665,Agricultural holding 0665,2026-08-24
PUGLIAOLIVE-HOLDING-0666,Agricultural holding 0666,2026-08-24
PUGLIAOLIVE-HOLDING-0667,Agricultural holding 0667,2026-08-24
PUGLIAOLIVE-HOLDING-0668,Agricultural holding 0668,2026-08-24
PUGLIAOLIVE-HOLDING-0669,Agricultural holding 0669,2026-08-24
PUGLIAOLIVE-HOLDING-0670,Agricultural holding 0670,2026-08-24
PUGLIAOLIVE-HOLDING-0671,Agricultural holding 0671,2026-08-24
PUGLIAOLIVE-HOLDING-0672,Agricultural holding 0672,2026-08-24
PUGLIAOLIVE-HOLDING-0673,Agricultural holding 0673,2026-08-24
PUGLIAOLIVE-HOLDING-0674,Agricultural holding 0674,2026-08-24
PUGLIAOLIVE-HOLDING-0675,Agricultural holding 0675,2026-08-24
PUGLIAOLIVE-HOLDING-0676,Agricultural holding 0676,2026-08-24
PUGLIAOLIVE-HOLDING-0677,Agricultural holding 0677,2026-08-24
PUGLIAOLIVE-HOLDING-0678,Agricultural holding 0678,2026-08-24
PUGLIAOLIVE-HOLDING-0679,Agricultural holding 0679,2026-08-24
PUGLIAOLIVE-HOLDING-0680,Agricultural holding 0680,2026-08-24
PUGLIAOLIVE-HOLDING-0681,Agricultural holding 0681,2026-08-24
PUGLIAOLIVE-HOLDING-0682,Agricultural holding 0682,2026-08-24
PUGLIAOLIVE-HOLDING-0683,Agricultural holding 0683,2026-08-24
PUGLIAOLIVE-HOLDING-0684,Agricultural holding 0684,2026-08-24
PUGLIAOLIVE-HOLDING-0685,Agricultural holding 0685,2026-08-24
PUGLIAOLIVE-HOLDING-0686,Agricultural holding 0686,2026-08-24
PUGLIAOLIVE-HOLDING-0687,Agricultural holding 0687,2026-08-24
PUGLIAOLIVE-HOLDING-0688,Agricultural holding 0688,2026-08-24
PUGLIAOLIVE-HOLDING-0689,Agricultural holding 0689,2026-08-24
PUGLIAOLIVE-HOLDING-0690,Agricultural holding 0690,2026-08-24
PUGLIAOLIVE-HOLDING-0691,Agricultural holding 0691,2026-08-24
PUGLIAOLIVE-HOLDING-0692,Agricultural holding 0692,2026-08-24
PUGLIAOLIVE-HOLDING-0693,Agricultural holding 0693,2026-08-24
PUGLIAOLIVE-HOLDING-0694,Agricultural holding 0694,2026-08-24
PUGLIAOLIVE-HOLDING-0695,Agricultural holding 0695,2026-08-24
PUGLIAOLIVE-HOLDING-0696,Agricultural holding 0696,2026-08-24
PUGLIAOLIVE-HOLDING-0697,Agricultural holding 0697,2026-08-24
PUGLIAOLIVE-HOLDING-0698,Agricultural holding 0698,2026-08-24
PUGLIAOLIVE-HOLDING-0699,Agricultural holding 0699,2026-08-24
PUGLIAOLIVE-HOLDING-0700,Agricultural holding 0700,2026-08-24
PUGLIAOLIVE-HOLDING-0701,Agricultural holding 0701,2026-08-24
PUGLIAOLIVE-HOLDING-0702,Agricultural holding 0702,2026-08-24
PUGLIAOLIVE-HOLDING-0703,Agricultural holding 0703,2026-08-24
PUGLIAOLIVE-HOLDING-0704,Agricultural holding 0704,2026-08-24
PUGLIAOLIVE-HOLDING-0705,Agricultural holding 0705,2026-08-24
PUGLIAOLIVE-HOLDING-0706,Agricultural holding 0706,2026-08-24
PUGLIAOLIVE-HOLDING-0707,Agricultural holding 0707,2026-08-24
PUGLIAOLIVE-HOLDING-0708,Agricultural holding 0708,2026-08-24
PUGLIAOLIVE-HOLDING-0709,Agricultural holding 0709,2026-08-24
PUGLIAOLIVE-HOLDING-0710,Agricultural holding 0710,2026-08-24
PUGLIAOLIVE-HOLDING-0711,Agricultural holding 0711,2026-08-24
PUGLIAOLIVE-HOLDING-0712,Agricultural holding 0712,2026-08-24
PUGLIAOLIVE-HOLDING-0713,Agricultural holding 0713,2026-08-24
PUGLIAOLIVE-HOLDING-0714,Agricultural holding 0714,2026-08-24
PUGLIAOLIVE-HOLDING-0715,Agricultural holding 0715,2026-08-24
PUGLIAOLIVE-HOLDING-0716,Agricultural holding 0716,2026-08-24
